Denominazione_ente	Tipologia	sito_istituzionale	check_date	check_http	check_https
Azienda Unita' Sanitaria Locale Umbria 1	Pubbliche Amministrazioni	www.uslumbria1.gov.it	2022-05-15 11:09:52.829806	0	0
Azienda Unita' Sanitaria Locale Umbria 2	Pubbliche Amministrazioni	www.uslumbria2.it	2022-05-15 11:09:52.860636	1	1
Azienda Unita' Sanitaria Locale Viterbo	Pubbliche Amministrazioni	www.asl.vt.it	2022-05-15 11:09:55.126319	1	1
Azienda Sanitaria Locale Roma 5	Pubbliche Amministrazioni	https://www.aslroma5.info	2022-05-15 11:09:55.659524	1	1
DOGRE S.R.L.	Gestori di Pubblici Servizi	https://dogresrl.it/	2022-05-15 11:09:56.029575	1	1
Azienda Sanitaria Provinciale N. 5 di Reggio Calabria	Pubbliche Amministrazioni	www.asp.rc.it	2022-05-15 11:09:56.398885	1	1
ARNAS G. Brotzu	Pubbliche Amministrazioni	www.aobrotzu.it	2022-05-15 11:09:57.477439	1	1
Azienda Sanitaria Friuli Occidentale	Pubbliche Amministrazioni	https://asfo.sanita.fvg.it	2022-05-15 11:09:57.957780	1	1
GEROPA SRL	Gestori di Pubblici Servizi	www.geropa.it	2022-05-15 11:09:58.767960	0	0
Azienda Sanitaria Provinciale di Vibo Valentia	Pubbliche Amministrazioni	www.aspvv.it	2022-05-15 11:10:06.855532	0	0
A.T.E.R. DELLA PROVINCIA DI VICENZA	Gestori di Pubblici Servizi	www.atervicenza.it	2022-05-15 11:10:07.252203	1	1
ECOENNASERVIZI SRL UNIPERSONALE	Stazioni Appaltanti	www.ecoennaservizi.it	2022-05-15 11:10:07.700837	1	1
SOCIETA' ACQUEDOTTO VALLE DEL LAMONE SRL	Gestori di Pubblici Servizi	www.savlmarradi.it	2022-05-15 11:10:09.301516	1	1
ISONTINA AMBIENTE SRL	Gestori di Pubblici Servizi	www.isontinambiente.it	2022-05-15 11:10:09.688589	1	1
Comunita' Montana Valle del Liri Zona XV	Pubbliche Amministrazioni	www.cmvalledelliri.it	2022-05-15 11:10:10.634476	1	1
Consorzio di bonifica Piave	Gestori di Pubblici Servizi	www.consorziopiave.it	2022-05-15 11:10:11.291094	1	1
COMMISSARIO DELEGATO STRAORDINARIO EMERGENZA COVID-19 - REGIONE SICILIANA	Pubbliche Amministrazioni	https://www.potenziamentoreteospedaliera.sicilia.it/	2022-05-15 11:10:18.309443	0	0
Azienda Casa Emilia Romagna della Provincia di Ravenna	Gestori di Pubblici Servizi	www.acerravenna.it	2022-05-15 11:10:18.666114	1	1
RAM Rete Autostrade Mediterranee per la Logistica, le Infrastrutture ed i Trasporti S.p.a.	Stazioni Appaltanti	www.ramspa.it	2022-05-15 11:10:19.434452	1	0
"ISTITUTO ISTRUZIONE SUPERIORE ""I. E V. FLORIO"" ERICE"	Pubbliche Amministrazioni	www.alberghieroerice.edu.it	2022-05-15 11:10:19.956799	1	1
